Item,Quantity,Manufacturer,Model,Weblink
solenoid,1,Neptune systems,SV-1,https://www.bulkreefsupply.com/sv-1-solenoid-valve-neptune-systems.html?utm_term=neptune%20solenoid%20valve&utm_campaign=Search%3EBrand%3ENeptune%3EExact+(MAP)&utm_source=adwords&utm_medium=ppc&hsa_acc=7373341438&hsa_cam=898241513&hsa_grp=57573777504&hsa_ad=324001885393&hsa_src=g&hsa_tgt=kwd-400734658271&hsa_kw=neptune%20solenoid%20valve&hsa_mt=e&hsa_net=adwords&hsa_ver=3&gclid=CjwKCAiAo5qABhBdEiwAOtGmbq5yC2QGTNspQbPfDO-liATmKKf9TjJCRHTMoLrTiz2v9yrZlA4-YBoCV7cQAvD_BwE
solenoid,3,Milwaukee Instruments,MA955,https://www.bulkreefsupply.com/milwaukee-ma955-co2-solenoid-valve.html
Centrifugal pump,6,Hydor,Pico 300,https://www.hydor.com/en/pico-pump/
Air pump,2,Tetra,Whisper 10,http://www.tetra-fish.com/products/aeration/whisper-aquarium-air-pump.aspx
Water pump,1,Pondmaster,Pond-Mag Magnetic Drive Model 5,https://www.dannermfg.com/pondmaster-pond-mag-magnetic-drive-water-pumps
Auto Dosing pump,3,Jebao,DP-4,https://www.amazon.com/Jebao-2-4-4-Channel-Saltwater-Aquarium/dp/B08779W93M/ref=sr_1_2?dchild=1&gclid=CjwKCAiAo5qABhBdEiwAOtGmbny-DowqZq3iJ_dDjp3qKgjIfa_6Asb0BwOxwBcZjkhhxIIssdaB0xoCsHkQAvD_BwE&hvadid=390425618550&hvdev=c&hvlocphy=9002225&hvnetw=g&hvqmt=e&hvrand=5068398667065719627&hvtargid=kwd-79010762363&hydadcr=10695_11264745&keywords=jebao+dosing+pump&qid=1611084750&sr=8-2&tag=googhydr-20
Apex pH probe,11,Neptune systems,Lab grade,https://shop.neptunesystems.com/products/ph-probe
Apex temperature probe,8,Neptune systems,Lab grade,https://shop.neptunesystems.com/products/temperature-probe
Apex salinity probe,2,Neptune systems,Lab grade,https://shop.neptunesystems.com/products/salinity-probe
Apex ORP probe,1,Neptune systems,Lab grade,https://shop.neptunesystems.com/products/orp-probe
Aquarium heater,6,Aqueon,TA300H,https://www.aqueon.com/products/heating/submersible-glass-heaters
Submersible heater,4,Tetra,HT40,http://www.tetra-fish.com/products/heaters/ht-submersible-heaters.aspx
Flex arm,18,AI,Prime,https://shop.aquaillumination.com/collections/mounts/products/prime-flex-arm
Hanging kit with ceiling mount,1,AI,Prime,https://shop.aquaillumination.com/collections/mounts/products/prime-hanging-kit
Aquabus cable,9,Neptune systems,,https://shop.neptunesystems.com/products/aquabus-cable-m-m
Aquabus extension cable,1,Neptune systems,,https://shop.neptunesystems.com/products/aquabus-extension-cable-m-f
Ethernet cable,2,,,
